dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003902,22.375001,0.003704,0.148148,2.962963,59.259259,0.000305
0.050000,0.020140,22.375016,0.019941,0.324754,3.532118,11.383093,0.001570
0.050000,0.052595,22.375108,0.052397,0.649113,6.487181,59.101274,0.004082
0.050000,0.101229,22.375397,0.101031,0.972684,6.471427,-0.315095,0.007806
0.050000,0.165979,22.376061,0.165785,1.295080,6.447909,-0.470361,0.012690
0.050000,0.246765,22.377328,0.246581,1.615919,6.416776,-0.622654,0.018665
0.050000,0.343483,22.379473,0.343323,1.934831,6.378244,-0.770635,0.025645
0.050000,0.456007,22.382806,0.455896,2.251461,6.332605,-0.912774,0.033530
0.050000,0.584188,22.387665,0.584169,2.565473,6.280235,-1.047403,0.042201
0.050000,0.727858,22.394408,0.727997,2.876553,6.221593,-1.172839,0.051530
0.050000,0.886824,22.403399,0.887218,3.184413,6.157216,-1.287546,0.061373
0.050000,1.060878,22.414995,1.061658,3.488798,6.087699,-1.390334,0.071575
0.050000,1.249794,22.429538,1.251132,3.789482,6.013670,-1.480578,0.081973
0.050000,1.453330,22.447342,1.455445,4.086269,5.935750,-1.558412,0.092392
0.050000,1.671238,22.468678,1.674395,4.378995,5.854504,-1.624909,0.102653
0.050000,1.903261,22.493763,1.907771,4.667514,5.770394,-1.682203,0.112568
0.050000,2.149143,22.522751,2.155356,4.951700,5.683717,-1.733548,0.121945
0.050000,2.408629,22.555719,2.416927,5.231428,5.594550,-1.783339,0.130585
0.050000,2.681468,22.592654,2.692255,5.506562,5.502696,-1.837073,0.138285
0.050000,2.967421,22.633443,2.981102,5.776944,5.407631,-1.901298,0.144832
0.050000,3.266256,22.677863,3.283221,6.042367,5.308454,-1.983556,0.150008
0.050000,3.577753,22.725562,3.598349,6.302558,5.203837,-2.092335,0.153578
0.050000,3.901700,22.776050,3.926206,6.557158,5.091984,-2.237051,0.155296
0.050000,4.237890,22.828677,4.266491,6.805687,4.970584,-2.428004,0.154890
0.050000,4.586113,22.882619,4.618867,7.047525,4.836770,-2.676272,0.152064
0.050000,4.946146,22.936850,4.982961,7.281880,4.687102,-2.993372,0.146486
0.050000,5.317735,22.990121,5.358349,7.507760,4.517581,-3.390425,0.137778
0.050000,5.697045,23.040479,5.740988,7.652777,2.900359,-32.344434,0.125640
0.050000,6.076781,23.085545,6.123389,7.648012,-0.095304,-59.913258,0.110000
0.050000,6.453266,23.123594,6.501791,7.568053,-1.599183,-30.077584,0.090807
0.050000,6.826294,23.153384,6.876007,7.484312,-1.674817,-1.512675,0.067895
0.050000,7.195565,23.173659,7.245834,7.396541,-1.755417,-1.611998,0.041084
0.050000,7.560681,23.183162,7.611074,7.304800,-1.834826,-1.588180,0.010200
0.050000,7.921152,23.180653,7.971553,7.209586,-1.904280,-1.389087,6.258272
0.050000,8.276404,23.164930,8.327153,7.111986,-1.951997,-0.954328,6.218825
0.050000,8.625803,23.134860,8.677844,7.013827,-1.963195,-0.223963,6.175020
0.050000,8.968692,23.089405,9.023733,6.917779,-1.920957,0.844758,6.126951
0.050000,9.304428,23.027651,9.365101,6.827362,-1.808341,2.252320,6.074868
0.050000,9.632430,22.948835,9.702439,6.746765,-1.611928,3.928251,6.019207
0.050000,9.952215,22.852353,10.036461,6.680446,-1.326380,5.710969,5.960603
0.050000,10.262150,22.738285,10.366721,6.605188,-1.505167,-3.575746,5.900125
0.050000,10.558103,22.608501,10.689880,6.463190,-2.839963,-26.695912,5.839566
0.050000,10.836213,22.466169,11.002296,6.248323,-4.297342,-29.147590,5.780798
0.050000,11.095763,22.313951,11.303189,6.017851,-4.609437,-6.241897,5.724951
0.050000,11.337609,22.153919,11.593189,5.800001,-4.356999,5.048757,5.672585
0.050000,11.562592,21.988132,11.872657,5.589365,-4.212718,2.885622,5.624021
0.050000,11.771530,21.818594,12.141726,5.381380,-4.159704,1.060293,5.579377
0.050000,11.965221,21.647211,12.400355,5.172568,-4.176239,-0.330718,5.538618
0.050000,12.144444,21.475757,12.648381,4.960527,-4.240805,-1.291320,5.501600
0.050000,12.309953,21.305859,12.885570,4.743779,-4.334966,-1.883204,5.468114
0.050000,12.462476,21.138982,13.111648,4.521557,-4.444436,-2.189409,5.437919
0.050000,12.602710,20.976433,13.326328,4.293608,-4.558996,-2.291198,5.410759
0.050000,12.731312,20.819364,13.529329,4.060016,-4.671841,-2.256891,5.386385
0.050000,12.848902,20.668784,13.720383,3.821077,-4.778776,-2.138704,5.364560
0.050000,12.956053,20.525573,13.899243,3.577203,-4.877475,-1.973981,5.345063
0.050000,13.053294,20.390489,14.065686,3.328859,-4.966873,-1.787972,5.327696
0.050000,13.024357,20.453008,14.134577,1.377812,-39.020943,-681.081386,5.114526
0.050000,12.982207,20.610216,14.297338,3.255223,37.548207,1531.383002,4.830389
0.050000,12.979752,20.693853,14.381011,1.673459,-31.635272,-1383.669592,4.630086
0.050000,12.978034,20.686670,14.388396,0.147715,-30.514876,22.407924,4.523982
0.050000,12.963483,20.619858,14.456775,1.367572,24.397127,1098.240070,4.485292
0.050000,12.940262,20.519438,14.559845,2.061398,13.876521,-210.412120,4.490605
0.050000,12.915754,20.402653,14.679174,2.386576,6.503560,-147.459222,4.523544
0.050000,12.895766,20.283296,14.800192,2.420376,0.676014,-116.550934,4.571159
0.050000,12.883023,20.174230,14.910000,2.196153,-4.484463,-103.209531,4.621977
0.050000,12.877029,20.086984,14.997452,1.749037,-8.942314,-89.157024,4.666088
0.050000,12.875249,20.030330,15.054134,1.133645,-12.307850,-67.310719,4.696013
0.050000,12.875008,20.005273,15.079193,0.501169,-12.649521,-6.833429,4.709525
0.050000,12.875000,20.000000,15.084465,0.105451,-7.914363,94.703167,4.712389
0.050000,12.875000,20.000000,15.084465,0.000000,-2.109015,116.106966,4.712389
